year,scenario,share_25_39,share_40_59,share_60_79,share_80,average_age
2046,medium_immigration,0.290970829621239,0.397980690241052,0.299535620953605,0.0115128591841046,50.5746141008076
2047,medium_immigration,0.289793041384014,0.397569674908922,0.301249191637682,0.0113880920693812,50.6095143383012
2048,medium_immigration,0.28862303472989,0.397161370401578,0.302951445567529,0.0112641493010018,50.6441839434692
2049,medium_immigration,0.287460725920119,0.396755749476071,0.30464250357644,0.0111410210273699,50.6786256273622
2050,medium_immigration,0.286306038230049,0.396352791507075,0.30632246975883,0.0110187005040455,50.7128413288
2051,medium_immigration,0.286001848797948,0.393974723904933,0.309063784962761,0.010959642334358,50.763391833091
2052,medium_immigration,0.28570013704885,0.391615947580076,0.311782852782625,0.0109010625884503,50.8135319183088
2053,medium_immigration,0.285400862982518,0.389276236164926,0.314479944327385,0.0108429565251712,50.8632666335392
2054,medium_immigration,0.285103992944093,0.386955363066341,0.317155326163036,0.0107853178265294,50.9126011385668
2055,medium_immigration,0.284809501326177,0.38465309371907,0.319809264137078,0.0107281408176752,50.9615402931458
2056,medium_immigration,0.284774771254463,0.382837198102982,0.321620513993097,0.010767516649457,51.0192337038178
2057,medium_immigration,0.284740308620208,0.381035379306426,0.323417723982404,0.0108065880909622,51.0764801525119
2058,medium_immigration,0.284706108660987,0.379247467081765,0.325201066833574,0.010845357423674,51.133284615317
2059,medium_immigration,0.284672171758299,0.377473304342679,0.326970695537452,0.0108838283615699,51.1896523177553
2060,medium_immigration,0.284638496537363,0.375712732818892,0.328726767672467,0.0109220029712783,51.2455881374297
2061,medium_immigration,0.284284475653435,0.374888520747023,0.329727760542055,0.0110992430574866,51.2903577415073
2062,medium_immigration,0.283932547471727,0.374069143587499,0.330722869156701,0.0112754397840728,51.3348640102924
2063,medium_immigration,0.283582672374183,0.373254575682222,0.331712148199499,0.011450603744096,51.3791096642793
2064,medium_immigration,0.283234849984629,0.372444760719708,0.332695645270109,0.0116247440255545,51.4230964933148
2065,medium_immigration,0.282889058746492,0.371639668456934,0.33367340295697,0.0117978698396028,51.4668268739139
2066,medium_immigration,0.282419404143992,0.37129250352547,0.334270422870402,0.0120176694601365,51.4894195788312
2067,medium_immigration,0.281951438266628,0.370946579700527,0.334865300647556,0.0122366813852885,51.5119310446844
2068,medium_immigration,0.281485144911881,0.370601892232529,0.335458052428423,0.0124549104271669,51.5343621062895
2069,medium_immigration,0.28102051613224,0.370258434702906,0.336048686368574,0.01267236279628,51.5567131623028
2070,medium_immigration,0.280557550671916,0.369916191504838,0.336637217724146,0.0128890400991003,51.5789844937975
2071,medium_immigration,0.280257287809965,0.370547613696372,0.336119737793554,0.0130753607001089,51.5798881239373
2072,medium_immigration,0.279957612616424,0.371177797887179,0.335603264335145,0.0132613251612523,51.5807900860467
2073,medium_immigration,0.279658509971877,0.371806793859859,0.335087762453981,0.0134469337142833,51.5816901116401
2074,medium_immigration,0.279359981358352,0.372434574381103,0.334573257988534,0.0136321862720104,51.5825884412961
2075,medium_immigration,0.27906202543062,0.373061164223826,0.334059726030368,0.0138170843151867,51.5834848917824
2076,medium_immigration,0.278847039659347,0.37365710456487,0.333722279821786,0.0137735759539973,51.5872055378248
2077,medium_immigration,0.278632616650661,0.374251471636031,0.333385730989272,0.0137301807240362,51.5909164342097
2078,medium_immigration,0.278418770784547,0.374844268043324,0.333050059338625,0.0136869018335034,51.5946171127543
2079,medium_immigration,0.278205477189409,0.375435507870319,0.33271527838826,0.0136437365520127,51.5983084631314
2080,medium_immigration,0.277992748802741,0.376025192306145,0.33238137406365,0.0136006848274653,51.6019898129724
2081,medium_immigration,0.278004506022302,0.375907287082599,0.332463927830512,0.0136242790645866,51.6051247070423
2082,medium_immigration,0.278016220211925,0.375789793314566,0.332546190539496,0.0136477959340138,51.6082490517657
2083,medium_immigration,0.27802790402277,0.375672665913962,0.332628195515816,0.0136712345474529,51.6113631352903
2084,medium_immigration,0.278039535162014,0.375555938503363,0.332709930902845,0.0136945954317776,51.6144672460654
2085,medium_immigration,0.2780511449101,0.375439588265704,0.3327913870034,0.0137178798207959,51.617560666644
2086,medium_immigration,0.278245292555904,0.374995792386958,0.332959783900028,0.01379913115711,51.6139934940957
2087,medium_immigration,0.27843884014264,0.374553378459426,0.333127657532542,0.0138801238653926,51.6104375656314
2088,medium_immigration,0.278631770079954,0.374112371722052,0.333294995652387,0.0139608625456073,51.6068929271321
2089,medium_immigration,0.278824092387465,0.373672765384154,0.333461796635189,0.0140413455931919,51.6033590705484
2090,medium_immigration,0.279015807759469,0.373234529192142,0.333628086100379,0.0141215769480091,51.5998368100802
2091,medium_immigration,0.279001066794838,0.372740183936744,0.334207004123785,0.0140517451446318,51.6092760000694
2092,medium_immigration,0.278986379727491,0.372247777992489,0.334783654071819,0.0139821882082011,51.6186783873733
2093,medium_immigration,0.27897175329582,0.371757296027186,0.335358047458802,0.0139129032181916,51.6280438370919
2094,medium_immigration,0.278957184481208,0.371268723012339,0.335930203342565,0.0138438891638881,51.6373728916749
2095,medium_immigration,0.278942671641472,0.370782055353294,0.336500128875833,0.0137751441294004,51.6466656438716
2096,medium_immigration,0.278642022104138,0.370507329556238,0.337078524395567,0.0137721239440568,51.6669852776642
2097,medium_immigration,0.278342624043366,0.370233743892107,0.337654514839202,0.0137691172253244,51.68722022285
2098,medium_immigration,0.278044464249211,0.369961291011107,0.338228122667348,0.0137661220723333,51.7073714925322
2099,medium_immigration,0.277747541993441,0.369689972158092,0.338799345441249,0.0137631404072174,51.7274391344283
2100,medium_immigration,0.277451846285389,0.369419766911728,0.339368216363937,0.0137601704389475,51.7474239997004
2020,high_immigration,0.31886598407606,0.383868770453639,0.291250211726979,0.0060150337433209,49.5040238818664
2021,high_immigration,0.318223608926294,0.380222930875871,0.295311781895945,0.00624167830189099,49.6173584069879
2022,high_immigration,0.317591531638809,0.37663542849988,0.299308343882478,0.00646469597883293,49.7288788446516
2023,high_immigration,0.316969483533339,0.373104881340249,0.30324146148853,0.00668417363788131,49.8386289411471
2024,high_immigration,0.316357230627638,0.369629946034243,0.30711263063569,0.00690019270242901,49.9466503345144
2025,high_immigration,0.315754543135848,0.366209308819158,0.310923311334498,0.00711283671049429,50.0529839103252
2026,high_immigration,0.314325894818543,0.366538588603669,0.311598343745939,0.00753717283184842,50.1198268390875
2027,high_immigration,0.312913057417045,0.366864214437128,0.312265915799751,0.00795681234607612,50.1859302910596
