year,share_18_39,share_40_59,share_60_79,share_80_plus,adult_share_sum
2057,0.3288258692874896,0.30425217167402796,0.2587780779186697,0.10814388111981259,0.9999999999999998
2058,0.3285840171741201,0.3029498125722317,0.2602953794340913,0.10817079081955744,1.0000000000000004
2059,0.32819019871147886,0.3017133566410806,0.26168271581514974,0.10841372883229108,1.0000000000000002
2060,0.32753784234952277,0.3005005881687449,0.2629204925175541,0.1090410769641784,1.0000000000000002
2061,0.3269771064520122,0.2996119625284108,0.2636906090458128,0.1097203219737642,1.0
2062,0.3263332178390598,0.298846355365243,0.2644175733513719,0.11040285344432554,1.0000000000000002
2063,0.32556221693053977,0.2981189530714545,0.2650674031176953,0.11125142688030976,0.9999999999999992
2064,0.32463182495620024,0.29732836368526044,0.26564225958348114,0.11239755177505796,0.9999999999999998
2065,0.32350956673264675,0.2964163868647479,0.2661348320883591,0.11393921431424678,1.0000000000000004
2066,0.32260336368212605,0.2957318148479977,0.2663084837424492,0.11535633772742683,0.9999999999999998
2067,0.3216768609188711,0.2949649497460478,0.26656501362198654,0.11679317571309465,1.0000000000000002
2068,0.3207070635465552,0.2941573738465392,0.26676441887914637,0.11837114372775898,0.9999999999999998
2069,0.3196597207753822,0.29339068479552755,0.26673456941501206,0.12021502501407827,1.0
2070,0.31849139422956774,0.292703781147523,0.2663711114387707,0.12243371318413877,1.0000000000000002
2071,0.3176577415684968,0.29246580484201884,0.26553061109353726,0.12434584249594728,1.0000000000000002
2072,0.3168825102676015,0.2923227534610499,0.2645318982219892,0.1262628380493597,1.0000000000000002
2073,0.3161212152010765,0.29222162271066043,0.26343002762560946,0.12822713446265366,1.0
2074,0.3153135772534792,0.2920966963536387,0.26235520092231296,0.13023452547056869,0.9999999999999994
2075,0.31439940182001574,0.2918938804273535,0.2613780392257347,0.13232867852689553,0.9999999999999996
2076,0.31386017937581906,0.2920501424423837,0.2603715824490935,0.13371809573270355,0.9999999999999998
2077,0.3133837001537728,0.29218916611694207,0.2595869825883063,0.1348401511409788,1.0
2078,0.31292116656007307,0.29225088197674864,0.2589611208617174,0.13586683060146107,1.0000000000000002
2079,0.31240984330983085,0.2921572983814526,0.25843815811831133,0.13699470019040597,1.0000000000000007
2080,0.311776381355839,0.29184386133365237,0.2579706617279988,0.13840909558251022,1.0000000000000004
2081,0.31151926890949,0.291779584226659,0.25751714572597983,0.1391840011378711,0.9999999999999999
2082,0.3113236462124188,0.29157311738964786,0.25731738535614096,0.139785851041792,0.9999999999999996
2083,0.311123956076288,0.29120846114634696,0.25725356122523785,0.1404140215521275,1.0000000000000002
2084,0.3108414024850257,0.2906821913419124,0.25719283903135715,0.14128356714170456,0.9999999999999998
2085,0.31039251630849096,0.28998047648415864,0.25704003715074675,0.1425869700566038,1.0
2086,0.3102964533044139,0.28959345337297393,0.25680136875984133,0.1433087245627707,0.9999999999999998
2087,0.310235564731348,0.2891276694236628,0.25666129854897757,0.14397546729601224,1.0000000000000007
2088,0.31014133368352065,0.28857442261146743,0.2565968102227069,0.1446874334823054,1.0000000000000004
2089,0.30992033888440684,0.28792276675866274,0.25661104773241966,0.14554584662451042,0.9999999999999997
