Notes,State,State Code,Year,Year Code,Age of Mother 10,Age of Mother 10 Code,Births,pull_year
,Indiana,18,2012,2012,30-34 years,30-34,4564,2012
,Indiana,18,2012,2012,35-39 years,35-39,1240,2012
,Indiana,18,2012,2012,40-44 years,40-44,222,2012
,Indiana,18,2012,2012,45-49 years,45-49,12,2012
,Iowa,19,2012,2012,Under 15 years,15-,33,2012
,Iowa,19,2012,2012,15 - 17 years,15-17,604,2012
,Iowa,19,2012,2012,18 - 19 years,18-19,1503,2012
,Iowa,19,2012,2012,20-24 years,20-24,4624,2012
,Iowa,19,2012,2012,25-29 years,25-29,4765,2012
,Iowa,19,2012,2012,30-34 years,30-34,2274,2012
,Iowa,19,2012,2012,35-39 years,35-39,588,2012
,Iowa,19,2012,2012,40-44 years,40-44,93,2012
,Kansas,20,2012,2012,Under 15 years,15-,28,2012
,Kansas,20,2012,2012,15 - 17 years,15-17,780,2012
,Kansas,20,2012,2012,18 - 19 years,18-19,1937,2012
,Kansas,20,2012,2012,20-24 years,20-24,4821,2012
,Kansas,20,2012,2012,25-29 years,25-29,4477,2012
,Kansas,20,2012,2012,30-34 years,30-34,2186,2012
,Kansas,20,2012,2012,35-39 years,35-39,631,2012
,Kansas,20,2012,2012,40-44 years,40-44,103,2012
,Kentucky,21,2012,2012,Under 15 years,15-,57,2012
,Kentucky,21,2012,2012,15 - 17 years,15-17,1376,2012
,Kentucky,21,2012,2012,18 - 19 years,18-19,3327,2012
,Kentucky,21,2012,2012,20-24 years,20-24,7900,2012
,Kentucky,21,2012,2012,25-29 years,25-29,5831,2012
,Kentucky,21,2012,2012,30-34 years,30-34,3077,2012
,Kentucky,21,2012,2012,35-39 years,35-39,865,2012
,Kentucky,21,2012,2012,40-44 years,40-44,170,2012
,Kentucky,21,2012,2012,45-49 years,45-49,14,2012
,Louisiana,22,2012,2012,Under 15 years,15-,105,2012
,Louisiana,22,2012,2012,15 - 17 years,15-17,1567,2012
,Louisiana,22,2012,2012,18 - 19 years,18-19,3656,2012
,Louisiana,22,2012,2012,20-24 years,20-24,8865,2012
,Louisiana,22,2012,2012,25-29 years,25-29,5963,2012
,Louisiana,22,2012,2012,30-34 years,30-34,3076,2012
,Louisiana,22,2012,2012,35-39 years,35-39,900,2012
,Louisiana,22,2012,2012,40-44 years,40-44,177,2012
,Louisiana,22,2012,2012,45-49 years,45-49,15,2012
,Maine,23,2012,2012,15 - 17 years,15-17,164,2012
,Maine,23,2012,2012,18 - 19 years,18-19,536,2012
,Maine,23,2012,2012,20-24 years,20-24,1720,2012
,Maine,23,2012,2012,25-29 years,25-29,1626,2012
,Maine,23,2012,2012,30-34 years,30-34,1102,2012
,Maine,23,2012,2012,35-39 years,35-39,342,2012
,Maine,23,2012,2012,40-44 years,40-44,80,2012
,Maryland,24,2012,2012,Under 15 years,15-,60,2012
,Maryland,24,2012,2012,15 - 17 years,15-17,1076,2012
,Maryland,24,2012,2012,18 - 19 years,18-19,2451,2012
,Maryland,24,2012,2012,20-24 years,20-24,7198,2012
,Maryland,24,2012,2012,25-29 years,25-29,8229,2012
,Maryland,24,2012,2012,30-34 years,30-34,6769,2012
,Maryland,24,2012,2012,35-39 years,35-39,2619,2012
,Maryland,24,2012,2012,40-44 years,40-44,613,2012
,Maryland,24,2012,2012,45-49 years,45-49,55,2012
,Massachusetts,25,2012,2012,Under 15 years,15-,32,2012
,Massachusetts,25,2012,2012,15 - 17 years,15-17,784,2012
,Massachusetts,25,2012,2012,18 - 19 years,18-19,1977,2012
,Massachusetts,25,2012,2012,20-24 years,20-24,6462,2012
,Massachusetts,25,2012,2012,25-29 years,25-29,9083,2012
,Massachusetts,25,2012,2012,30-34 years,30-34,10030,2012
,Massachusetts,25,2012,2012,35-39 years,35-39,3878,2012
,Massachusetts,25,2012,2012,40-44 years,40-44,846,2012
,Massachusetts,25,2012,2012,45-49 years,45-49,98,2012
,Michigan,26,2012,2012,Under 15 years,15-,102,2012
,Michigan,26,2012,2012,15 - 17 years,15-17,2223,2012
,Michigan,26,2012,2012,18 - 19 years,18-19,5217,2012
,Michigan,26,2012,2012,20-24 years,20-24,14190,2012
,Michigan,26,2012,2012,25-29 years,25-29,12701,2012
,Michigan,26,2012,2012,30-34 years,30-34,7733,2012
,Michigan,26,2012,2012,35-39 years,35-39,2297,2012
,Michigan,26,2012,2012,40-44 years,40-44,565,2012
,Michigan,26,2012,2012,45-49 years,45-49,32,2012
,Minnesota,27,2012,2012,Under 15 years,15-,43,2012
,Minnesota,27,2012,2012,15 - 17 years,15-17,824,2012
,Minnesota,27,2012,2012,18 - 19 years,18-19,1963,2012
,Minnesota,27,2012,2012,20-24 years,20-24,6449,2012
,Minnesota,27,2012,2012,25-29 years,25-29,9157,2012
,Minnesota,27,2012,2012,30-34 years,30-34,6447,2012
,Minnesota,27,2012,2012,35-39 years,35-39,1914,2012
,Minnesota,27,2012,2012,40-44 years,40-44,414,2012
,Minnesota,27,2012,2012,45-49 years,45-49,20,2012
,Mississippi,28,2012,2012,Under 15 years,15-,89,2012
,Mississippi,28,2012,2012,15 - 17 years,15-17,1243,2012
,Mississippi,28,2012,2012,18 - 19 years,18-19,2657,2012
,Mississippi,28,2012,2012,20-24 years,20-24,5860,2012
,Mississippi,28,2012,2012,25-29 years,25-29,3321,2012
,Mississippi,28,2012,2012,30-34 years,30-34,1494,2012
,Mississippi,28,2012,2012,35-39 years,35-39,467,2012
,Mississippi,28,2012,2012,40-44 years,40-44,91,2012
,Missouri,29,2012,2012,Under 15 years,15-,69,2012
,Missouri,29,2012,2012,15 - 17 years,15-17,1478,2012
,Missouri,29,2012,2012,18 - 19 years,18-19,3746,2012
,Missouri,29,2012,2012,20-24 years,20-24,9795,2012
,Missouri,29,2012,2012,25-29 years,25-29,8426,2012
,Missouri,29,2012,2012,30-34 years,30-34,4639,2012
,Missouri,29,2012,2012,35-39 years,35-39,1328,2012
,Missouri,29,2012,2012,40-44 years,40-44,267,2012
,Missouri,29,2012,2012,45-49 years,45-49,12,2012
,Montana,30,2012,2012,15 - 17 years,15-17,215,2012
,Montana,30,2012,2012,18 - 19 years,18-19,560,2012
,Montana,30,2012,2012,20-24 years,20-24,1531,2012
,Montana,30,2012,2012,25-29 years,25-29,1353,2012
,Montana,30,2012,2012,30-34 years,30-34,747,2012
,Montana,30,2012,2012,35-39 years,35-39,241,2012
,Montana,30,2012,2012,40-44 years,40-44,36,2012
,Nebraska,31,2012,2012,Under 15 years,15-,16,2012
,Nebraska,31,2012,2012,15 - 17 years,15-17,419,2012
,Nebraska,31,2012,2012,18 - 19 years,18-19,973,2012
,Nebraska,31,2012,2012,20-24 years,20-24,2857,2012
,Nebraska,31,2012,2012,25-29 years,25-29,3145,2012
,Nebraska,31,2012,2012,30-34 years,30-34,1615,2012
,Nebraska,31,2012,2012,35-39 years,35-39,397,2012
,Nebraska,31,2012,2012,40-44 years,40-44,90,2012
,Nevada,32,2012,2012,Under 15 years,15-,35,2012
,Nevada,32,2012,2012,15 - 17 years,15-17,732,2012
,Nevada,32,2012,2012,18 - 19 years,18-19,1554,2012
,Nevada,32,2012,2012,20-24 years,20-24,4072,2012
,Nevada,32,2012,2012,25-29 years,25-29,3361,2012
,Nevada,32,2012,2012,30-34 years,30-34,2189,2012
,Nevada,32,2012,2012,35-39 years,35-39,880,2012
,Nevada,32,2012,2012,40-44 years,40-44,175,2012
,Nevada,32,2012,2012,45-49 years,45-49,16,2012
,New Hampshire,33,2012,2012,15 - 17 years,15-17,153,2012
,New Hampshire,33,2012,2012,18 - 19 years,18-19,393,2012
,New Hampshire,33,2012,2012,20-24 years,20-24,1357,2012
,New Hampshire,33,2012,2012,25-29 years,25-29,1672,2012
,New Hampshire,33,2012,2012,30-34 years,30-34,1256,2012
,New Hampshire,33,2012,2012,35-39 years,35-39,441,2012
,New Hampshire,33,2012,2012,40-44 years,40-44,86,2012
,New Jersey,34,2012,2012,Under 15 years,15-,71,2012
,New Jersey,34,2012,2012,15 - 17 years,15-17,1225,2012
,New Jersey,34,2012,2012,18 - 19 years,18-19,2749,2012
,New Jersey,34,2012,2012,20-24 years,20-24,9257,2012
,New Jersey,34,2012,2012,25-29 years,25-29,11930,2012
,New Jersey,34,2012,2012,30-34 years,30-34,11444,2012
,New Jersey,34,2012,2012,35-39 years,35-39,4339,2012
,New Jersey,34,2012,2012,40-44 years,40-44,1050,2012
,New Jersey,34,2012,2012,45-49 years,45-49,88,2012
,New Mexico,35,2012,2012,Under 15 years,15-,48,2012
,New Mexico,35,2012,2012,15 - 17 years,15-17,869,2012
,New Mexico,35,2012,2012,18 - 19 years,18-19,1723,2012
,New Mexico,35,2012,2012,20-24 years,20-24,3498,2012
,New Mexico,35,2012,2012,25-29 years,25-29,2108,2012
,New Mexico,35,2012,2012,30-34 years,30-34,1229,2012
,New Mexico,35,2012,2012,35-39 years,35-39,471,2012
,New Mexico,35,2012,2012,40-44 years,40-44,97,2012
,New York,36,2012,2012,Under 15 years,15-,171,2012
,New York,36,2012,2012,15 - 17 years,15-17,3245,2012
,New York,36,2012,2012,18 - 19 years,18-19,7476,2012
,New York,36,2012,2012,20-24 years,20-24,26000,2012
,New York,36,2012,2012,25-29 years,25-29,26735,2012
,New York,36,2012,2012,30-34 years,30-34,24899,2012
,New York,36,2012,2012,35-39 years,35-39,10536,2012
,New York,36,2012,2012,40-44 years,40-44,2733,2012
,New York,36,2012,2012,45-49 years,45-49,280,2012
,New York,36,2012,2012,50 years and over,50+,23,2012
,North Carolina,37,2012,2012,Under 15 years,15-,131,2012
,North Carolina,37,2012,2012,15 - 17 years,15-17,2639,2012
,North Carolina,37,2012,2012,18 - 19 years,18-19,5795,2012
,North Carolina,37,2012,2012,20-24 years,20-24,15532,2012
,North Carolina,37,2012,2012,25-29 years,25-29,12644,2012
,North Carolina,37,2012,2012,30-34 years,30-34,8551,2012
,North Carolina,37,2012,2012,35-39 years,35-39,2931,2012
,North Carolina,37,2012,2012,40-44 years,40-44,589,2012
,North Carolina,37,2012,2012,45-49 years,45-49,32,2012
,North Dakota,38,2012,2012,15 - 17 years,15-17,138,2012
,North Dakota,38,2012,2012,18 - 19 years,18-19,357,2012
,North Dakota,38,2012,2012,20-24 years,20-24,1303,2012
,North Dakota,38,2012,2012,25-29 years,25-29,1397,2012
,North Dakota,38,2012,2012,30-34 years,30-34,619,2012
,North Dakota,38,2012,2012,35-39 years,35-39,137,2012
,North Dakota,38,2012,2012,40-44 years,40-44,22,2012
,Ohio,39,2012,2012,Under 15 years,15-,131,2012
,Ohio,39,2012,2012,15 - 17 years,15-17,2781,2012
,Ohio,39,2012,2012,18 - 19 years,18-19,6690,2012
,Ohio,39,2012,2012,20-24 years,20-24,17293,2012
,Ohio,39,2012,2012,25-29 years,25-29,15133,2012
,Ohio,39,2012,2012,30-34 years,30-34,9089,2012
,Ohio,39,2012,2012,35-39 years,35-39,2702,2012
,Ohio,39,2012,2012,40-44 years,40-44,523,2012
,Ohio,39,2012,2012,45-49 years,45-49,30,2012
,Oklahoma,40,2012,2012,Under 15 years,15-,59,2012
,Oklahoma,40,2012,2012,15 - 17 years,15-17,1501,2012
,Oklahoma,40,2012,2012,18 - 19 years,18-19,3149,2012
,Oklahoma,40,2012,2012,20-24 years,20-24,7184,2012
,Oklahoma,40,2012,2012,25-29 years,25-29,5120,2012
,Oklahoma,40,2012,2012,30-34 years,30-34,2337,2012
,Oklahoma,40,2012,2012,35-39 years,35-39,641,2012
,Oklahoma,40,2012,2012,40-44 years,40-44,126,2012
,Oregon,41,2012,2012,Under 15 years,15-,33,2012
,Oregon,41,2012,2012,15 - 17 years,15-17,746,2012
,Oregon,41,2012,2012,18 - 19 years,18-19,1687,2012
,Oregon,41,2012,2012,20-24 years,20-24,5155,2012
,Oregon,41,2012,2012,25-29 years,25-29,4899,2012
,Oregon,41,2012,2012,30-34 years,30-34,3788,2012
,Oregon,41,2012,2012,35-39 years,35-39,1475,2012
,Oregon,41,2012,2012,40-44 years,40-44,306,2012
,Oregon,41,2012,2012,45-49 years,45-49,21,2012
,Pennsylvania,42,2012,2012,Under 15 years,15-,122,2012
